""	"Open"	"High"	"Low"	"Close"	"Volume"
"155"	76.8	76.85	76.8	76.8	29200
"156"	76.8	76.85	76.8	76.8	8000
"157"	76.85	76.85	76.8	76.85	8000
"158"	76.85	76.85	76.8	76.8	39600
"159"	76.85	76.85	76.8	76.8	7600
"160"	76.8	76.85	76.8	76.8	9600
"161"	76.85	76.85	76.8	76.85	30000
"162"	76.8	76.85	76.8	76.85	10000
"163"	76.9	76.9	76.85	76.85	56000
"164"	76.95	76.95	76.85	76.9	64000
"165"	76.9	76.95	76.85	76.9	57200
"166"	76.9	76.95	76.85	76.9	33600
"167"	76.95	76.95	76.9	76.9	35600
"168"	76.9	76.95	76.9	76.9	31200
"169"	76.85	76.95	76.85	76.9	105600
"170"	76.95	76.95	76.85	76.9	27200
"171"	76.9	76.95	76.9	76.9	5200
"172"	76.85	76.9	76.85	76.9	25600
"173"	76.85	76.9	76.85	76.9	6000
"174"	76.85	76.9	76.85	76.85	35200
"175"	76.85	76.9	76.85	76.85	7200
"176"	76.9	76.9	76.85	76.85	16000
"177"	76.85	76.9	76.85	76.85	18400
"178"	76.85	76.9	76.85	76.9	132400
"179"	76.8	76.8	76.8	76.8	1200
"180"	76.8	76.8	76.8	76.8	2000
"181"	76.8	76.85	76.8	76.8	7200
"182"	76.85	76.85	76.8	76.85	20800
"183"	76.8	76.85	76.8	76.8	48000
"184"	76.8	76.85	76.8	76.85	7200
"185"	76.8	76.85	76.8	76.8	6400
"186"	76.8	76.8	76.8	76.8	5600
"187"	76.8	76.85	76.8	76.8	17200
"188"	76.8	76.85	76.8	76.85	12800
"189"	76.8	76.85	76.8	76.85	6400
"190"	76.85	76.85	76.8	76.8	5200
"191"	76.8	76.85	76.8	76.8	16800
"192"	76.8	76.85	76.8	76.8	16000
"193"	76.8	76.8	76.8	76.8	14400
"194"	76.8	76.85	76.8	76.85	20400
"195"	76.8	76.85	76.8	76.8	5600
"196"	76.85	76.85	76.8	76.8	6800
"197"	76.8	76.85	76.8	76.8	18400
"198"	76.85	76.85	76.8	76.8	40000
"199"	76.8	76.85	76.8	76.8	3600
"200"	76.85	76.85	76.8	76.8	49600
"201"	76.85	76.85	76.8	76.8	6400
"202"	76.8	76.85	76.8	76.8	8400
"203"	76.8	76.85	76.8	76.8	9200
"204"	76.8	76.85	76.8	76.8	15200
"205"	76.75	76.8	76.75	76.8	106400
"206"	76.8	76.8	76.8	76.8	7200
"207"	76.8	76.8	76.8	76.8	1600
"208"	76.8	76.8	76.75	76.8	23200
"209"	76.8	76.8	76.75	76.8	157200
"210"	76.75	76.75	76.75	76.75	12000
"211"	76.75	76.8	76.75	76.8	1600
"212"	76.75	76.8	76.75	76.75	29200
"213"	76.75	76.75	76.75	76.75	64400
"214"	76.8	76.8	76.75	76.75	54000
"215"	76.75	76.8	76.75	76.75	8000
"216"	76.8	76.8	76.75	76.75	9600
"217"	76.8	76.8	76.8	76.8	7200
"218"	76.75	76.8	76.75	76.8	33600
"219"	76.8	76.8	76.75	76.8	51200
"220"	76.75	76.8	76.75	76.8	14800
"221"	76.8	76.8	76.75	76.8	93600
"222"	76.85	76.85	76.8	76.8	58400
"223"	76.85	76.85	76.75	76.8	4400
"224"	76.8	76.85	76.75	76.85	27200
"225"	76.8	76.85	76.8	76.8	12800
"226"	76.8	76.8	76.75	76.8	43200
"227"	76.75	76.8	76.7	76.8	131200
"228"	76.7	76.75	76.7	76.75	8000
"229"	76.7	76.75	76.7	76.75	15600
"230"	76.7	76.75	76.7	76.75	3200
"231"	76.7	76.75	76.7	76.7	5200
"232"	76.65	76.75	76.65	76.7	561200
"233"	76.65	76.7	76.65	76.7	44800
"234"	76.65	76.7	76.65	76.7	33600
"235"	76.7	76.7	76.7	76.7	19200
"236"	76.65	76.7	76.6	76.65	156800
"237"	76.6	76.65	76.6	76.6	25200
"238"	76.6	76.65	76.6	76.6	28800
"239"	76.6	76.65	76.6	76.65	30800
"240"	76.6	76.65	76.6	76.6	23200
"241"	76.65	76.7	76.6	76.6	170000
"242"	76.65	76.7	76.65	76.65	132000
"243"	76.7	76.7	76.65	76.7	21600
"244"	76.65	76.7	76.65	76.65	22000
"245"	76.65	76.7	76.65	76.7	18000
"246"	76.65	76.7	76.65	76.65	28400
"247"	76.7	76.7	76.65	76.7	155600
"248"	76.75	76.75	76.65	76.7	40000
"249"	76.7	76.7	76.7	76.7	128800
"250"	76.65	76.7	76.65	76.7	34000
"251"	76.65	76.7	76.65	76.7	33200
"252"	76.65	76.7	76.65	76.65	43200
"253"	76.65	76.7	76.65	76.7	22400
"254"	76.7	76.7	76.65	76.7	31600
"255"	76.7	76.7	76.65	76.7	54000
"256"	76.7	76.7	76.65	76.65	40000
"257"	76.75	76.75	76.65	76.65	60800
"258"	76.75	76.75	76.7	76.7	8000
"259"	76.7	76.75	76.7	76.75	28800
"260"	76.7	76.7	76.7	76.7	2400
"261"	76.75	76.75	76.7	76.7	133200
"262"	76.75	76.75	76.7	76.75	3600
"263"	76.7	76.75	76.7	76.7	46800
"264"	76.7	76.75	76.7	76.7	14400
"265"	76.75	76.75	76.75	76.75	5600
"266"	76.7	76.7	76.7	76.7	10400
"267"	76.75	76.75	76.7	76.7	35200
"268"	76.7	76.75	76.7	76.7	8800
"269"	76.8	76.8	76.7	76.75	118000
"270"	76.8	76.8	76.75	76.75	11200
"271"	76.75	76.8	76.75	76.75	24800
"272"	76.75	76.8	76.75	76.75	4400
"273"	76.85	76.9	76.75	76.8	393200
"274"	76.85	76.9	76.85	76.85	104400
"275"	76.85	76.85	76.8	76.85	28400
"276"	76.8	76.85	76.8	76.85	81200
"277"	76.85	76.85	76.8	76.85	114000
"278"	76.85	76.9	76.85	76.9	5600
"279"	76.9	76.9	76.85	76.85	118400
"280"	76.9	76.95	76.9	76.9	31600
"281"	76.9	76.95	76.9	76.9	17600
"282"	76.9	76.9	76.9	76.9	53200
"283"	76.85	76.95	76.85	76.95	108000
"284"	76.9	76.9	76.85	76.9	39600
"285"	76.9	76.9	76.85	76.9	16000
"286"	76.85	76.9	76.85	76.9	3600
"287"	76.9	76.9	76.85	76.9	26000
"288"	76.85	76.9	76.85	76.9	22800
"289"	76.75	76.85	76.75	76.85	228800
"290"	76.8	76.8	76.75	76.75	9600
"291"	76.8	76.8	76.75	76.8	59200
"292"	76.8	76.8	76.75	76.8	6800
"293"	76.8	76.8	76.75	76.8	8000
"294"	76.8	76.8	76.75	76.75	16000
"295"	76.75	76.8	76.75	76.8	28400
"296"	76.75	76.8	76.75	76.75	10400
"297"	76.75	76.8	76.75	76.8	16800
"298"	76.75	76.8	76.75	76.75	9600
"299"	76.75	76.8	76.75	76.75	57600
"300"	76.75	76.8	76.75	76.75	13600
"301"	76.8	76.8	76.75	76.75	116400
"302"	76.8	76.85	76.8	76.85	9200
"303"	76.75	76.85	76.75	76.85	123600
"304"	76.75	76.8	76.75	76.8	22400
"305"	76.75	76.8	76.75	76.8	10800
"306"	76.75	76.8	76.75	76.8	24800
"307"	76.8	76.8	76.75	76.75	12800
"308"	76.75	76.8	76.75	76.75	26000
"309"	76.75	76.8	76.75	76.75	22800
"310"	76.75	76.75	76.75	76.75	6800
"311"	76.8	76.8	76.75	76.75	6400
"312"	76.75	76.8	76.75	76.75	30400
"313"	76.7	76.8	76.7	76.75	436000
"314"	76.65	76.75	76.65	76.75	950800
"315"	76.7	76.7	76.6	76.65	309200
"316"	76.75	76.75	76.65	76.65	111200
"317"	76.7	76.75	76.7	76.7	69200
"318"	76.7	76.7	76.65	76.7	81600
"319"	76.7	76.75	76.65	76.7	131600
"320"	76.7	76.75	76.7	76.75	156800
"321"	76.65	76.7	76.65	76.7	1e+05
"322"	76.65	76.7	76.6	76.65	219600
"323"	76.65	76.7	76.65	76.7	74800
"324"	76.65	76.7	76.65	76.7	128400
"325"	76.65	76.7	76.6	76.7	66000
"326"	76.7	76.75	76.65	76.65	482400
"327"	76.75	76.75	76.7	76.7	67200
"328"	76.7	76.75	76.65	76.7	296400
"329"	76.7	76.75	76.7	76.7	197600
"330"	76.65	76.75	76.65	76.7	121600
"331"	76.65	76.7	76.6	76.7	989200
