"","Open","High","Low","Close","Volume"
"292",75.9,75.9,75.85,75.85,573600
"293",75.85,75.9,75.85,75.9,430800
"294",75.85,75.9,75.8,75.85,106800
"295",75.85,75.9,75.85,75.9,131200
"296",75.85,75.9,75.85,75.85,83200
"297",75.9,75.9,75.85,75.85,45600
"298",76.05,76.05,75.85,75.85,1581200
"299",76.15,76.15,76,76.05,246800
"300",76.25,76.25,76.1,76.1,672000
"301",76.1,76.25,76.1,76.2,329600
"302",76.15,76.15,76.05,76.1,369200
"303",76.05,76.15,76,76.1,221200
"304",76.1,76.1,76.05,76.1,191200
"305",76.1,76.15,76.1,76.1,63600
"306",76.15,76.15,76.1,76.1,181200
"307",76.15,76.15,76.1,76.1,103600
"308",76.15,76.2,76.1,76.1,277200
"309",76.15,76.2,76,76.15,538800
"310",76.15,76.2,76.1,76.15,186800
"311",76.2,76.2,76.15,76.2,108000
"312",76.2,76.2,76.15,76.15,75600
"313",76.3,76.3,76.15,76.2,1012800
"314",76.5,76.5,76.25,76.3,736800
"315",76.55,76.65,76.45,76.5,858000
"316",76.6,76.6,76.5,76.55,246800
"317",76.6,76.6,76.5,76.55,237600
"318",76.55,76.6,76.5,76.55,441600
"319",76.55,76.6,76.55,76.55,169600
"320",76.6,76.6,76.55,76.6,220400
"321",76.6,76.6,76.55,76.6,356400
"322",76.55,76.6,76.5,76.6,314800
"323",76.5,76.55,76.45,76.55,513200
"324",76.55,76.55,76.45,76.5,337200
"325",76.5,76.55,76.5,76.55,202400
"326",76.55,76.6,76.5,76.55,318000
"327",76.55,76.6,76.55,76.55,211200
"328",76.55,76.6,76.5,76.55,241600
"329",76.55,76.6,76.5,76.55,840400
"330",76.6,76.6,76.5,76.55,428400
"331",76.6,76.6,76.55,76.55,627200
